exhibition_number,artist_info,label,object_number,exhibition_location,exhibition_area,gallery_location
16-101,,Nautilus Shell Cup,M/P.4-1938,Wall case 2 ,A,Adeane 
16-102,,Turbo Shell cup,MAR.M.71 & A-1912,Wall case 2 ,A,Adeane 
16-103,,standing salt,M/P.3 & 1 & B & C-1938,Wall case 2 ,A,Adeane 
16-104,,Ming porcelain dish with pomegranate,C.12-2002,Wall mounted,C,Adeane 
16-105,,Iznik Jug,M.16-1948,Wall mounted,C,Adeane 
16-106,,clapmash bowl with pomegranates and grapes,C.1400-1928,Wall mounted,C,Adeane 
16-107,Frans Francken,Worship of the Golden Calf,PDP 262,North Wall,D,20th Century
16-108,,"Wedding of Psyche, Limoges enamel dish",M.116-1961,Wall case 2 ,A,Adeane 
16-109,Maarten de Vos,Spring with zodiac signs,3708,North Wall (cluster of 4),A,Adeane
16-110,Maarten de Vos,Summer with zodiac signs,3709,North Wall (cluster of 4),A,Adeane
16-111,Maarten de Vos,Autumn with zodiac signs,3710,North Wall (cluster of 4),A,Adeane
16-112,Maarten de Vos,Winter / Aelus with zodiac signs,3711,North Wall (cluster of 4),A,Adeane
16-113,Pieter Brueghel the Younger,Winter landscape with bird trap,248,Bespoke wall,B,Adeane
16-115,Frans Snyders,The Fowl Market,315,SW Wall,D,20th Century
16-116,,"Free warren charter of 1291, Known as the Pilkington Charter",MS 46-1980,Wall case 4 (recessed doorway),B,Adeane
16-117,,"Coney Catching, tin-glazed earthenware plaque",C.1571-1928,Wall mounted,B,Adeane 
16-118,Jan van der Straet,Trapping Cranes near Pisa,PD.736-1963,North Wall,B,Adeane
16-120,Jocob III de Gheyn,A plucked duck suspended by its neck and one leg,PD.348-1963,North Wall,B,Adeane
16-123,Francesco II Bassano da Ponte,Landscape with shepherds,PDP 114,S Wall **above case**,B,Adeane
16-124,,Devon Harvest Jug,GL.C.59-1928,Wall case 3,B,Adeane 
16-125,,Lead-glazed earthenware jug with farmyard scene,C.1055-1928,Wall case 3,B,Adeane 
16-126,,Hannah Robinson commemorative jug,C.774-1928,Wall case 3,B,Adeane 
16-134,,Embroider of 'arcadia',T.1-1933,Recess of Bulkhead ,A,Adeane 
16-137,Herman van Swanevelt,"The Campo Vaccino, Rome",PDP 367,Bespoke wall,B,Adeane
16-138,Willem van Mieris,The Market Stall,PDP 36,North Wall,C,Adeane
16-139,,Turkish Woman holding a shell dish,C.83-1950,Confectioner's Shop,C,Adeane 
16-140,,"Basket, Wprcester Porcelain Factory",C.132-1932,Confectioner's Shop,C,Adeane 
16-141,,Jelly Glass,C/G.95-1931,Confectioner's Shop,C,Adeane 
16-142,,Jelly Glass,C.507-1961,Confectioner's Shop,C,Adeane 
16-143,,Jelly Glass,C/G.107-1933,Confectioner's Shop,C,Adeane 
16-145,,Jelly Glass,C/G.381-1931,Confectioner's Shop,C,Adeane 
16-146,,Jelly Glass,c.170-1975,Confectioner's Shop,C,Adeane 
16-147,,Sweetmeat stand,C.141-1961,Confectioner's Shop,C,Adeane 
16-148,,Syllabub glass,c.162-1961,Confectioner's Shop,C,Adeane 
16-149,,Jelly glass,C/G.289-1931,Confectioner's Shop,C,Adeane 
16-149,,Jelly Glass,C/G.290-1931,Confectioner's Shop,C,Adeane 
16-150,,Salver,C.427-1961,Confectioner's Shop,C,Adeane 
16-151,,Sweetmeat Glass,C.614-1961,Confectioner's Shop,C,Adeane 
16-152,,Fruit seller,FL.74-1955,Confectioner's Shop,C,Adeane 
16-153,,fruit seller's companion,FL.75-1955,Confectioner's Shop,C,Adeane 
16-154,,Pair of figures with candlesticks (1),EC.15A-1938,Confectioner's Shop,C,Adeane 
16-155,,Pair of figures with candlesticks (2),EC.15B-1938,Confectioner's Shop,C,Adeane 
16-157,,Sweetmeat Glass,C.504-1961,Confectioner's Shop,C,Adeane 
16-158,,Sweetmeat Glass,C.349-1961,Confectioner's Shop,C,Adeane 
16-159,,Sweetmeat glass,C.338-1961,Confectioner's Shop,C,Adeane 
16-160,,Sweetmeat glass,C.613-1961,Confectioner's Shop,C,Adeane 
16-162,Frederick Mackenzie,Cambridge market place,PD.13-1971,NE wall,D,20th Century
16-163,,Textile pocket,T.1-1836,large hanging case 2,D,20th Century
16-164,,Halfpenny  fish,CM.BI.1021-R,large hanging case 2,D,20th Century
16-166,,halfpenny marston,CM.BI.317-R,large hanging case 2,D,20th Century
16-167,,halfpenny millard,CM.BI.375-R,large hanging case 2,D,20th Century
16-168,,halfpenny powell,CM.TR.645-R,large hanging case 2,D,20th Century
16-169,,halfpenny conny,CM.QC.1556-R,large hanging case 2,D,20th Century
16-170,Floris Gerritsz.van Schooten,"Kitchen utensils, meat and vegetables",PDP 96,South Wall,D,20th Century
16-171,David II Teniers,"Interior, with an old woman peeling apples",PDP 72,South Wall,D,20th Century
16-176,,Maiolica storage jar,MAR.C.68B-1912,Desk case ,D,20th Century
16-178,,Cat seated with Mouse in its Paw,C.3055-1928,Desk case ,D,20th Century
16-182,,Carving knife and fork,MAR.M.140A-B-1912,wall mounted ,D,20th Century
16-183,,Female cook holding a larded Hare,C.8-1954,Desk case ,D,20th Century
16-184,,Caneware 'Pastry capon' tureen,C.29 & A-2013,Desk case ,D,20th Century
16-185,Godfried Schalcken,A lady holding a plate [with a waffle],365,North Wall,E,Mellon
16-186,Norwegian Bridal Tapestry,The Feast of Herod,T.2-1945,Which Wall?,E,Mellon
16-188,Adriaen van Ostade,Saying grace,AD.1.18-715,South Wall,E,Mellon
16-190,,Tweleve trenchers,M.4.1-13-1920,Wedding Sugar Banquet table ,A,Adeane 
16-191,,Pair of Bride Knives,M.18A & B-1930,Wedding Sugar Banquet table ,A,Adeane 
16-192,,Silver-gilt Tazza,M/P.25-1938,Wedding Sugar Banquet table ,A,Adeane 
16-193,Giulio Romano,Giulio Romano drawings album,PD.6-1948.f.5,Wall case ,A,Adeane
16-195,workshop of Pierre Reymond,Hexagonal salt,M.4-1966,Wall case 2 ,A,Adeane 
16-198,,Pewter sugar caster with unidentified arms,NAV.182-1933,Wall case 6,C,Adeane 
16-199,,Tin-glazed Earthenware Sugar Caster,C.2435 & A-1928,Wall case 6,C,Adeane 
16-200,,Sugar caster,C.153-1975,Wall case 6,C,Adeane 
16-201,,Sugar bowl,C.13.2 & A & B-1961,Wall case 6,C,Adeane 
16-202,,Sugar Bowl,C.6 & A-1951,wall mounted case,G,Mellon
16-217,Johann Koenig,Adam and Eve in Paradise about to fall,PD.63-1974,North Wall,E,Mellon
16-219,,Beadwork panel of Adam & Eve,T.20-1945,Recess of Bulkhead ,A,Adeane 
16-221,,9 Blue and White Dutch Delftware tiles of biblical scenes relating to food,C.2804.1-1928 to C.2804.52-1928,Which Wall?,E,Mellon
16-222,After Heemskerck,Dives and Lazarus,PDP 274,North Wall,E,Mellon
16-223,Frans I van Mieris,Dutch courtship,PDP 32,North Wall,E,Mellon
16-225,Abraham Mignon,Still-Life with rotting fruit and nuts on a stone ledge,PD.104-1992,North Wall,E,Mellon
16-227,Pierre Reymond,Basin for a ewer decorated with five scenes from Genesis,M.111-1961,Wall mounted ,E,Mellon
16-228,Pierre Reymond,Passover as The Last Summer,M.52-1904,charger case?,E,Mellon
16-229,Colin Nouailher,The Lord's Prayer V: A Preacher giving a Sermon,M.49C-1904,charger case?,E,Mellon
16-230,,Silver-gilt Ciborium,MAR.M.75 & A-1912,infinity case,E,Mellon
16-231,Jean Duvet,Chapter 10: The Angel Gives St. John the Book to Eat,P.4052-R,South Wall,E,Mellon
16-232,,Bottle,GL.C.36-1928,infinity case,E,Mellon
16-233,,Pipkin,GL.C.35-1928,infinity case,E,Mellon
16-234,Timothy Garthwait,"Title-page to George Hall, ' Fast sermon, preached to the Lords in the High-Court of Parliament assembled on the day of solemn humiliation for the continuing pestilence",P.184-2009,South Wall,E,Mellon
16-235,Giovanni Antonio Colicci,The Vision of San Francesco of Paola,M.2-2016,Bespoke wall,F,Mellon
16-236,Pieter van der Heyden,The thin Kitchen,P.4290-R-155,Desk case,F,Mellon
16-237,Milan Marsyas Painter,The Holy Family,MAR.C.60-1912,wall mounted,F,Mellon
16-238,,Feeding cup,C.2895-1928,wall mounted,F,Mellon
16-240,Theodorus Netscher,"Pineapple grown in Sir Matthew Decker's garden at Richmod, Surrey",PDP 357,South Wall,C,Adeane
16-263,Nicolaus Emmerling,Standing cup(only),MAR.M.48-1912,Wedding Sugar Banquet table ,A,Adeane
16-264,Jan Davidsz. De Heem,Still Life  ,M.47,Entrance wall,A,Adeane
16-265,Adriaen Matham,The Golden Age,AD.1.18-168,South Wall,A,Adeane
16-266,Crispijn I de Passe,Earth,PD 24.I.3-270,Desk case ,A,Adeane
16-267,Crispijn I de Passe,Aer,PD 24.I.3-271,Desk case ,A,Adeane
16-268,Harmen Jansz. Muller (after Maarteen van Heemskerck),The Phlegmatic Temperament,M.H-II-151,Desk case ,A,Adeane
16-269,Harmen Jansz. Muller (after Maarteen van Heemskerck),The Phlegmatic Temperament,M.H-II-151,Desk case ,A,Adeane
16-270,Harmen Jansz. Muller (after Maarteen van Heemskerck),The Phlegmatic Temperament,M.H-II-151,Desk case ,A,Adeane
16-271,Harmen Jansz. Muller (after Maarteen van Heemskerck),The Phlegmatic Temperament,M.H-II-151,Desk case ,A,Adeane
16-272,Abraham Bosse,Taste ,30-I.5-213,Desk case ,A,Adeane
16-273,Abraham Bosse,Sight,30-I.5-213,Desk case ,A,Adeane
16-274,Jan Brueghel the elder,Landscape with mill and carts,PD.186-1975,Bespoke wall,B,Adeane
16-275,,Tile Picture of Buckwheat Milling,C.2847-1928,Wall case 3,B,Adeane
16-276,,Honey Pot,C.231-1928,Wall case 3,B,Adeane
16-277,,Butter tub and cover with recumbent cow knob,C.560 & A & B-1928,Wall case 3,B,Adeane
16-278,,Rabbit Tureen,EC.11 & A-1945,Wall case 3,B,Adeane
16-279,,Hen and chicks tureen and stand,C.3 & A & B-1958,Wall case 3,B,Adeane
16-280,,Book of Hours,MS 132,Hanging case,B,Adeane
16-281,Cornelis Vermeulen,River scene by moonlight,PDP 408,North Wall ,B,Adeane
16-282,Virgilius Solis the elder,Hares Roasting a Hunter,P.4962-R,North Wall,B,Adeane
16-283,Jan Weenix,Dead game and fruit,PDP 50,Bespoke wall,B,Adeane
16-284,Balthasar van der Ast,Still-life with fruit and macaws,PDP 295,Bespoke wall,C,Adeane
16-285,,"Paradisi in sole paradisus terrestris, or, A Garden of all Sorts of Pleasant Flowers which our English ayre will permitt to be noursed up
",MSSPB 23:a.7,Wall case 5 ,C,Adeane
16-286,,Pineapple teapot,C.707 & A-1928,Wall case 5 ,C,Adeane
16-287,,"Tile , A couple in a Garden",C.1731-1928,Wall case 5 ,C,Adeane
16-288,,Dish for fake pineapple flummery,C.5-1997,Wall case 5 ,C,Adeane
16-289,,wine glass,C.182-1961,Wall case 5 ,C,Adeane
16-290,,Porcelain ginger jar,C.710 & A-1991,Wall case 6,C,Adeane
16-291,Jocob Bodendeich,Ginger jar and cover,M.11 & A-2005,Wall case 6,C,Adeane
16-292,,Sugar Basket,M.46 & A-1961,Wall case 6 ,C,Adeane
16-293,James Gillray,Hero's recruiting at Kelsey's; -or- guard-day at St James's,P.435-1948,Bespoke wall,C,Adeane
16-294,,Dessert plate decorated with Convolvulus Indicus,C.8-1992,Confectioner's Shop,C,Adeane
16-295,,Dessert plate decorated with Ketmia Indica,C.91-1950,Confectioner's Shop,C,Adeane
16-296,,"Desserplate decorated with the buds of Alecea rosa, an Anemone and leaves",c.9-1992,Confectioner's Shop,C,Adeane
16-297,,Cupid as a drummer,FL.82A-1955,Confectioner's Shop,C,Adeane
16-298,,Cupid playing a hurdy-gurdy,FL.82G-1955,Confectioner's Shop,C,Adeane
16-299,,Cupid as a Street Entertainer,FL.82H-1955,Confectioner's Shop,C,Adeane
16-300,,Maiolica storage jar,MAR.C.68A-1912,Desk case ,D,20th Century
16-301,Abraham Bosse,The Bake House,PDP 30.I.5-288,NE wall,D,20th Century
16-302,,Turkey rug: Caucasus region,T.3-1961,feasting table,D,20th Century
16-303,,Pewter plate for crayfish,NAV.M.80-1933,feasting table,D,20th Century
16-304,,Glass goblet,MAR.C.130-1912,feasting table,D,20th Century
16-305,,pewter Tazza  (with lobster),NAV.110-1933,feasting table,D,20th Century
16-306,,pewter plate (for citrus fruit),NAV.M.168-1933,feasting table,D,20th Century
16-307,William Blake,Christ refusing the banquet,PD.18-1950,SW Wall,E,Mellon
16-308,Jan I Sadeler ,Preparation for the passover,PDP 24.I.6-61,Desk case **installed after loan install above**,E,Mellon
16-309,Virgilius Solis the elder,Anti Catholic revolt against meat avoidance on Fridays,P.4961-R,North Wall,F,Mellon
16-310,Rembrant van Rijn,The pancake woman,AD.12.39-127,North Wall,F,Mellon
16-311,Abraham Bosse,L'Hyver (Winter),PDP 30.I.5-275,Bespoke wall,F,Mellon
16-312,"The Abruzzi, Castelli, Pompei workshop",Spouted pharmacy jar,C.64-1927,wall mounted,F,Mellon
16-313,,pharmacy bottle,C.5-1952,wall mounted,F,Mellon
16-314,,Spouted pharmacy jar,C.7-1952,wall mounted ,F,Mellon
16-315,,litte girl with apples in high chair,C.2773-1928,wall mounted,F,Mellon
16-316,,dutch porringer,C.2783 & A-1928,wall mounted,F,Mellon
16-317,William Hogarth,O The Roast Beef of England,P.4776-R,South Wall,F,Mellon
16-318,Henry William Bunbury,"The Turf-Macaroni The Duke of Grafton Caricatures, Macaronies & Characters by sundry ladies gentlemen artists &c
",P.2028-1991,South Wall,F,Mellon
16-319,James Gillray,French Liberty: British Slavery,P.288-1948,South Wall,F,Mellon
16-320,James Gillray,"The British Butcher, supplying John Bull with a substitute for Bread, vide Message to Lord Mayor",P.349-1948,Bespoke wall,F,Mellon
16-321,James Gillray,Substitutes for bread,P.359-1948,Bespoke wall,F,Mellon
16-323,,British Trade Token,CM.526-1989,wall mounted ,F,Mellon
16-324,Adriaen Coorte,A bundle of asparagus,PDP 2575,Bespoke wall,G,Mellon
16-325,,Tureen and cover in the shape of a carp,C.36 & A-1932,wall mounted case,G,Mellon
16-326,,Trompe l'oeil plate of mussels,C.2293-1928,wall mounted case,G,Mellon
16-327,,Unidentified Rouen pottery,C.2294-1928,wall mounted case,G,Mellon
16-328,,Tin-glazed earthenware,C.2392 & A-1928,wall mounted case,G,Mellon
16-329,,Tureen in form of a bunch of asparagus,C.2740 & A-1928,wall mounted case,G,Mellon
16-330,,tin-glazed earthenware tureen in the shame of a cauliflower,C.2742 & A-1928,wall mounted case,G,Mellon
16-331,,tin-glazed earthenware tureen in the shame of a cauliflower,C.2741.1 & A-1928,wall mounted case,G,Mellon
16-332,,"Box in the form of a Melon and Leaves
",C.2886 & A-1928,wall mounted case,G,Mellon
16-333,,Tureen in the shame of a melon,C.2743 & A-1928,wall mounted case,G,Mellon
16-334,,Tureen in the shame of a melon,C.2978 & A-1928,wall mounted case,G,Mellon
16-335,,plate with plums,C.2320-1928,wall mounted case,G,Mellon
16-336,,bunch of grapes,C.2928 & A-1928,wall mounted case,G,Mellon
16-337,,plate with trompe l'oeil fruit,C.2138-1928,wall mounted case,G,Mellon
17-242,German School,"Still Life of a Bowl of Raspberries, Standing Cup, a Bottle of Rose Water, a Sugar Loan and a Box of Sugar",,NW,C,Adeane 
18-243,,Bel and the Dragon Tablecloth,,Wedding banquet ,A,Adeane 
18-244,,Napkin,,Wedding banquet ,A,Adeane 
19-245,Gian Domenico Valentino,A Kitchen interior with a maid filleting fish at a table,,SE Wall,D,20th Century 
19-246,Thomas Stothard RA,A subject from Gil Blas: The Reverend Licenciate Sedillo at supper,,Bespoke wall NE,F,Mellon
20-262,Pieter Aertsent,Preparations for a Feast,,SE Wall,D,20th Century 
21-338,Gottlieb Isaac. Pewter,Seder plate,,Wall mounted vitrine,E,Mellon
